영업상태명,지번주소,사업장명,업태구분명,좌표정보(X),좌표정보(Y)
영업/정상,서울특별시 서대문구 창천동 506-20 아륭빌딩,롯데슈퍼 창천점,구분없음,193624.0149,450696.745
폐업,서울특별시 서대문구 홍제동 158-33 연세24시사우나,롯데슈퍼 홍제점,구분없음,195196.6937,453764.7063
영업/정상,서울특별시 은평구 대조동 240호,엔씨백화점 불광점,쇼핑센터,193661.7324,456379.1939
영업/정상,서울특별시 서대문구 남가좌동 381 DMC센트레빌,롯데슈퍼 남가좌점,구분없음,192480.0294,452634.5577
영업/정상,서울특별시 영등포구 당산동5가 16번지 7호,이랜드리테일 당산점,그 밖의 대규모점포,191177.5845,447965.6455
영업/정상,서울특별시 중구 신당1동 777번지,(주)광희패션몰,그 밖의 대규모점포,200982.7091,451817.384
영업/정상,,삼익패션타운,그 밖의 대규모점포,198091.2021,450913.3407
영업/정상,,중부시장,그 밖의 대규모점포,200091.1676,451433.5796
영업/정상,,디자이너크럽,그 밖의 대규모점포,201075.6067,451683.0178
영업/정상,,선싸인,그 밖의 대규모점포,198737.5538,451081.8946
폐업,서울특별시 성북구 하월곡동 16번지 1 호,월곡시장,시장,,
폐업,서울특별시 성북구 정릉동 405번지 1  호,정릉시장,시장,200741.8145,456247.2537
영업/정상,,혜양엘리시움,그 밖의 대규모점포,201047.8997,451814.3504
영업/정상,,남정종합상가,그 밖의 대규모점포,197843.8207,450717.3536
폐업,서울특별시 성북구 장위동 238번지 496 호,장위시장,그 밖의 대규모점포,204411.7791,456753.4888
폐업,서울특별시 성북구 삼선동1가 29호,삼선시장,시장,200571.1538,454098.6109
폐업,서울특별시 성북구 장위동 68번지 1014호,코코마트,시장,204367.3478,456732.945
영업/정상,서울특별시 종로구 낙원동 288번지 낙원상가,낙원상가,그 밖의 대규모점포,198838.913,452214.211
영업/정상,서울특별시 종로구 낙원동 288번지 낙원상가,낙원상가,그 밖의 대규모점포,198838.913,452214.211
영업/정상,서울특별시 종로구 예지동 6번지 1호,광장시장,복합쇼핑몰,199837.4143,451974.1285
영업/정상,서울특별시 종로구 숭인동 76번지 롯데캐슬천지인 1층,홈플러스(주)익스프레스 숭인점,구분없음,201359.5335,452395.6591
영업/정상,서울특별시 종로구 종로6가 270번지 3호 동대문종합시장D동상가,동대문종합시장D동상가,그 밖의 대규모점포,200579.4098,452035.3477
영업/정상,,에이피엠플레이스,쇼핑센터,200673.0115,451443.2799
영업/정상,서울특별시 은평구 응암동 754번지 1호,대림시장,시장,192661.6613,453828.586
영업/정상,서울특별시 은평구 응암동 300번지 11 호   ,양지시장,그 밖의 대규모점포,,
영업/정상,서울특별시 종로구 서린동 33번지 영풍빌딩,(주)영풍문고,전문점,198351.8187,451921.603
영업/정상,,DDP FASHION MALL,그 밖의 대규모점포,200999.3562,451654.4182
영업/정상,   호   ,종로세운상가,대형마트,,
영업/정상,서울특별시 종로구 인의동 48번지 2호,효성주얼리시티,그 밖의 대규모점포,199812.6096,452132.6483
영업/정상,,홈플러스익스프레스 신당점,구분없음,201308.5365,451174.3655
영업/정상,서울특별시 종로구 창신동 23번지 76호 브라운스톤 창신,브라운스톤 창신상가,그 밖의 대규모점포,201258.0627,452787.1328
영업/정상,서울특별시 종로구 종로6가 289번지 3 호,동대문종합시장,그 밖의 대규모점포,200717.749,452011.8651
영업/정상,서울특별시 종로구 종로6가 289번지 57호,동대문종합시장 신관,그 밖의 대규모점포,200647.0133,452054.7649
영업/정상,,동문시장,시장,200908.3984,452025.3465
영업/정상,서울특별시 종로구 인의동 112번지 2호,세운스퀘어,그 밖의 대규모점포,199670.9799,452221.775
영업/정상,서울특별시 종로구 신문로1가 24번지  고려빌딩 1층,홈플러스(주)익스프레스 광화문점,대형마트,197700.034,452022.5035
영업/정상,서울특별시 종로구 예지동 6번지 1호,광장주식회사,시장,199837.4143,451974.1285
영업/정상,,지에스수퍼마켓 중구만리점,구분없음,,
영업/정상,서울특별시 중구 남대문로2가 9-1,센터포인트 명동,쇼핑센터,198401.7013,451374.3122
영업/정상,,서울중앙시장,그 밖의 대규모점포,201680.0675,451610.9622
영업/정상,"서울특별시 성북구 길음동 535번지8호, 535번지26호, 540번지2호",길음시장,그 밖의 대규모점포,,
영업/정상,서울특별시 종로구 종로1가 1번지,종로1번지아케이트,복합쇼핑몰,197993.9046,452032.9586
영업/정상,서울특별시 종로구 서린동 33호   ,영풍문고,대형마트,198351.8187,451921.603
영업/정상,서울특별시 종로구 창신동 436번지 79  호   ,동대문신발도매상가,그 밖의 대규모점포,,
영업/정상,서울특별시 종로구 숭인동 206-9 신설종합시장 숭인동,신설종합시장,시장,201727.6708,452264.4202
영업/정상,서울특별시 종로구 숭인동 206-9 신설종합시장,신설종합시장(주),그 밖의 대규모점포,201727.6708,452264.4202
휴업,서울특별시 종로구 종로3가 175번지 4호   ,종로세운상가,그 밖의 대규모점포,,
휴업,서울특별시 종로구 종로3가 175번지 4호   ,종로세운상가,그 밖의 대규모점포,,
휴업,서울특별시 종로구 창신동 766호   ,숭인제일아케이트,그 밖의 대규모점포,,
휴업,   호   ,광장시장주식회사,그 밖의 대규모점포,,
폐업,서울특별시 종로구 창신동 328번지 18호,크레타 망고 아울렛,전문점,201273.8878,452163.2925
폐업,서울특별시 종로구 중학동 62번지 외 66필지,중학아케이드,그 밖의 대규모점포,,
영업/정상,서울특별시 중구 남창동 49번지,서울남대문시장,그 밖의 대규모점포,197951.1506,450771.0878
