매장명,지역,브랜드명
속초서희더베이점,강원도 속초시 동해대로 3958 (조양동) 1층~2층,투썸플레이스
전주삼천점,전북 전주시 완산구 강변로 68,투썸플레이스
광주매곡점,"광주광역시 북구 하백로6번길 12 (매곡동,대광로제비앙) 1층",투썸플레이스
국군수도병원점,"경기 성남시 분당구 율동 222, 국군수도병원 ",투썸플레이스
이태원점,서울특별시 용산구 이태원로 167 (이태원동) ,투썸플레이스
용답역점,서울시 성동구 용답길 85,투썸플레이스
담양담빛호수점,전라남도 담양군 담양읍 담빛리 574번지,투썸플레이스
고흥터미널점,전라남도 고흥군 고흥읍 터미널길 13 106~107호,투썸플레이스
대구신서이노밸리점,대구 동구 경안로 847,투썸플레이스
방이한양건설점,서울특별시 송파구 백제고분로50길 7 한양건설,투썸플레이스
시흥신천점,"경기도 시흥시 신천로 94 (신천동) B동 112호, 113호",투썸플레이스
군산미룡점,전북 군산시 미룡동 868-1번지,투썸플레이스
신갈오거리점,경기도 용인시 기흥구 신갈로 60 (신갈동) ,투썸플레이스
대구상동팔래스점,"대구광역시 수성구 수성로 128 (상동) 1,2층",투썸플레이스
발산역사거리점,서울특별시 강서구 공항대로 290 (내발산동) 신우빌딩 B동 1층 105호,투썸플레이스
고양관산점,경기도 고양시 덕양구 통일로 757 (관산동) 2층,투썸플레이스
인천서창점,인천 남동구 서창남순환로216번길 30,투썸플레이스
대전신성점,대전 유성구 가정로 93 (신성동),투썸플레이스
인천산곡역점,"인천광역시 부평구 길주로364번길 9 (산곡동, 부평IPARK) 101동 119, 120, 121호",투썸플레이스
대전월평본점,대전 서구 월평중로 22,투썸플레이스
평택센트럴자이점,경기도 평택시 동삭로 370-16 (동삭동) 1~2층,투썸플레이스
가산대륭18차점,서울 금천구 가산디지털1로 19,투썸플레이스
여주월송점,경기도 여주시 월평로 61-6 1층1 (월송동) 투썸플레이스 ,투썸플레이스
서대문홍은점,서울특별시 서대문구 가좌로 143  1층(홍은동),투썸플레이스
순천순광로DT점,"전라남도 순천시 순광로 188 (조례동, 현대스틸하우징)",투썸플레이스
공주동학사점,충남 공주시 반포면 학봉리 716-1,투썸플레이스
여수신기점,전남 여수시 신기동 11번지 101~102호,투썸플레이스
울산유곡점,울산 중구 종가2길 2-11,투썸플레이스
포이DI점,서울 서초구 양재동 263-5,투썸플레이스
공덕풍림빌딩점,"서울특별시 마포구 마포대로 127 (공덕동,풍림브이아이피텔) 1층",투썸플레이스
수원매교역점,경기 수원시 권선구 세류동 97-63 1층,투썸플레이스
춘천퇴계점,"강원 춘천시 안마산로 199,1층 105호(퇴계동)",투썸플레이스
군위서부네거리점,경상북도 군위군 군위읍 도군로 2708 1층,투썸플레이스
거진농협현내점,강원도 고성군 현내면 한나루로 131 (거진농협현내지점) 2층 투썸플레이스,투썸플레이스
돌곶이역점,서울특별시 성북구 화랑로 237 (장위동) 1층,투썸플레이스
대흥역점,"서울특별시 마포구 백범로 116 (염리동, 동무마포타워) 1층",투썸플레이스
대전도룡점,대전 유성구 도룡동 394-1,투썸플레이스
춘천강원대학교두리관점,"강원도 춘천시 강원대학길 1 (효자동, 강원대학교) 두리관 1층",투썸플레이스
별내송산로점,경기도 남양주시 송산로 254 (별내동) 1층2층,투썸플레이스
나주호수공원점,전남 나주시 중야2길 14 (빛가람동),투썸플레이스
대구침산점,대구 북구 옥산로17길 47,투썸플레이스
홍천연봉점,강원도 홍천군 홍천읍 연봉로6길 2 홍천농협,투썸플레이스
수원천천점,경기 수원시 장안구 만석로 19번길 29,투썸플레이스
남양주별내역점,경기도 남양주시 별내1로 6 (별내동) 1층,투썸플레이스
철원와수점,강원 철원군 와수리 1153-14,투썸플레이스
포천고모호수점,경기도 포천시 소흘읍 죽엽산로 438 고모리 663-2,투썸플레이스
대구원대오거리점,대구광역시 북구 옥산로 1 (노원동1가) 1층,투썸플레이스
강서화곡로점,"서울특별시 강서구 화곡로 228 (화곡동, 대원빌딩) 2층",투썸플레이스
창원경상대병원점,경남 창원시 성산구 삼정자로 7,투썸플레이스
송파방이역점,서울 송파구 방이동 201-4 1층,투썸플레이스
서동탄역점,경기 화성시 남여울3길 3,투썸플레이스
나주예가람타워점,전라남도 나주시 상야1길 7 (빛가람동) 1-2층,투썸플레이스
이천온천사거리점,경기 이천시 애련정로 99,투썸플레이스
판교대장점,경기 성남시 분당구 대장동 229-1,투썸플레이스
강북구청점,"서울특별시 강북구 한천로 1035 (수유동, 우성빌딩) 1층",투썸플레이스
충북혁신중앙점,충북 음성군 맹동면 장성로 107,투썸플레이스
대전비래점,대전광역시 대덕구 비래동로 7 (비래동) 투썸플레이스,투썸플레이스
수원송죽점,"경기도 수원시 장안구 송원로 25 (송죽동,송죽노래방) 1,2층 투썸플레이스 수원송죽점",투썸플레이스
송도닥터플러스몰점,"인천광역시 연수구 컨벤시아대로230번길 54 (송도동) 1,2층",투썸플레이스
의정부호원점,경기도 의정부시 평화로 239 (호원동) 105호~108호,투썸플레이스
광명G타워점,경기 광명시 소하동 1344,투썸플레이스
금호하이리버점,"서울특별시 성동구 금호로 105 (금호동2가,래미안하이리버 상가동) 지하 3층",투썸플레이스
대구가톨릭병원대로점,대구광역시 남구 두류공원로 102 (대명동) 1층,투썸플레이스
안산부곡점,경기 안산시 상록구 부곡동 672-12,투썸플레이스
평택소사벌점,경기 평택시 비전5로 20-45,투썸플레이스
분당서현점,경기도 성남시 분당구 황새울로342번길 15 은성빌딩 1층,투썸플레이스
미사호수공원점,"경기도 하남시 미사강변중앙로 223 (망월동,센트럴파크1) 1-2층",투썸플레이스
구미신평점,"경북 구미시 구미대로 409, 1층 109호",투썸플레이스
부산명지옛터공원점,부산광역시 강서구 명지국제13로가길 18-1 (명지동) 1층,투썸플레이스
예술의전당점,서울 서초구 반포대로 34,투썸플레이스
부산망미연수로점,부산 수영구 망미동 960-10,투썸플레이스
신논현점,서울시 강남구 봉은사로 125 1층,투썸플레이스
연천전곡점,경기도 연천군 전곡읍 전곡로 185 (은대리) 1층,투썸플레이스
신월ICDI점,서울특별시 양천구 남부순환로 424 (신월동) 투썸플레이스 신월IC DI점,투썸플레이스
동탄라스플로레스점,"경기도 화성시 동탄대로 537, 1층 1029.1030.1031호",투썸플레이스
석촌역점,"서울특별시 송파구 송파대로 437 (석촌동, 덕일빌딩) 1, 2층",투썸플레이스
부천중동시장점,"경기도 부천시 부흥로 181 (중동, 세민메가트랜스) 108, 109호",투썸플레이스
속초외옹치점,강원도 속초시 해오름로 67 (대포동) 2~3층,투썸플레이스
원주소금산그랜드밸리점,강원 원주시 지정면 간현리 1108-18,투썸플레이스
대구두류공원점,대구광역시 달서구 두류공원로 242 (두류동) 1층 투썸플레이스 ,투썸플레이스
인천주안역북부점,"인천광역시 미추홀구 석정로 433 (주안동, 영일빌딩) 101호",투썸플레이스
제주이도점,"제주특별자치도 제주시 중앙로 286 1층 (이도이동, 김기수안과빌딩)",투썸플레이스
서대문역바비엥점,"서울특별시 중구 통일로 114 (의주로1가,바비엥-2) 1층",투썸플레이스
부평남부역점,인천 부평구 경인로 946,투썸플레이스
북수원정자타운점,경기 수원시 장안구 정자동 878-2,투썸플레이스
광주각화점,광주 북구 각화동 505-17번지,투썸플레이스
전주혁신도시점,전라북도 완주군 이서면 기지로 43 (갈산리) 1층 투썸플레이스 전주혁신도시점,투썸플레이스
광양이순신대교점,전남 광양시 중동 1805~ 1892 (중동 1891-3),투썸플레이스
충주성서점,충청북도 충주시 성서7길 17 (성서동) 투썸플레이스 충주성서점,투썸플레이스
김포디원시티시그니처점,"경기도 김포시 김포한강10로133번길 107 (구래동, 디원시티시그니처) 120~123호",투썸플레이스
인천계양점,"인천광역시 계양구 오조산공원로 22 (용종동, 계양프라자) ",투썸플레이스
양천향교역점,서울특별시 강서구 강서로 460 1층,투썸플레이스
대구테크노중앙로점,"대구광역시 달성군 유가읍 테크노중앙대로 254 (봉리,하이젠스타) 투썸대구테크노중앙로",투썸플레이스
당진CGV점,충청남도 당진시 북문로1길 35-16 (읍내동) 1층,투썸플레이스
대전죽동점,대전광역시 유성구 죽동로297번길 22 (죽동) 1층,투썸플레이스
송파개롱역점,서울특별시 송파구 동남로 236 (가락동) 1층,투썸플레이스
송파헬리오시티점,서울특별시 송파구 가락로 78 (석촌동) 더시티프라자 1층,투썸플레이스
아산탕정점,충남 아산시 탕정면 탕정면로 8 트라빌딩 1층,투썸플레이스
대웅제약사옥점,"서울특별시 강남구 봉은사로 644 (삼성동, 대웅제약빌딩) 1층",투썸플레이스
대전목동더샵리슈빌점,대전광역시 중구 선화서로 118 (선화동) 투썸플레이스,투썸플레이스
춘천KBS사거리점,강원도 춘천시 퇴계로 9 (퇴계동) 1층,투썸플레이스
인천삼산사거리점,"인천광역시 부평구 평천로 398 (삼산동, 에스엠 메디칼 프라자) 103, 104, 105호",투썸플레이스
세종해밀점,"세종특별자치시 해밀3로 43 (해밀동, 스카이드림) 스카이드림 1층",투썸플레이스
인천구월아시아드점," 인천광역시 남동구 선수촌공원로 36 (구월동,더블루시티) 1층",투썸플레이스
인천구월예술로점,"인천광역시 남동구 예술로140번길 33 (구월동, 화성빌딩) 101호",투썸플레이스
고양지축점,경기 고양시 덕양구 지축동 오부자로 42,투썸플레이스
파주운정가람점,경기도 파주시 가람로 39 102~106호,투썸플레이스
완주삼례점,전라북도 완주군 삼례읍 삼례로 382 1층,투썸플레이스
여수소호동동다리점,"전라남도 여수시 소호로 490 (소호동) 1,2층",투썸플레이스
안양국제나은병원점,경기 안양시 만안구 안양동 456-1,투썸플레이스
장유대청점,경남 김해시 계동로 217,투썸플레이스
영등포로터리점,서울특별시 영등포구 경인로 900,투썸플레이스
송탄출장소점,"경기도 평택시 관광특구로 36 (서정동, 송탄빌딩) 1층",투썸플레이스
장유푸드타운점,경상남도 김해시 월산로 162 (부곡동) 네오푸드상가 내,투썸플레이스
마포공덕점,서울 마포구 마포대로 156,투썸플레이스
오산세마역점,경기도 오산시 세마역로41번길 58,투썸플레이스
파인애비뉴점,서울 중구 을지로100,투썸플레이스
부산반여점,부산 해운대구 선수촌로 103-8,투썸플레이스
안양석수점,경기도 안양시 만안구 충훈로 70,투썸플레이스
남양주마석역점,"경기도 남양주시 화도읍 마석중앙로 120, 102호",투썸플레이스
인천청라홈플러스점,"인천 서구 중봉대로 587, 2층",투썸플레이스
대전관저네거리점,대전광역시 서구 관저북로13번길 23-24,투썸플레이스
홈플러스작전점,"인천광역시 계양구 계양대로 27 (작전동, HOMEPLUS작전점) 1층 투썸플레이스",투썸플레이스
속초엑스포점,강원도 속초시 엑스포로1길 31 (조양동) ,투썸플레이스
제주아라점,제주 제주시 아라일동 6134-2번지,투썸플레이스
양주백석점,경기도 양주시 백석읍 호명로 76 1~2층,투썸플레이스
