매장명,지역,브랜드명
하남미사중앙점,"경기도 하남시 미사강변대로 38 (풍산동, 위너스프라자) 1층~2층",투썸플레이스
강화화도점,인천광역시 강화군 화도면 해안남로 1812-3 ,투썸플레이스
담양백동사거리점,전남 담양군 담양읍 백동리 680-8,투썸플레이스
영월중앙로점,강원도 영월군 영월읍 중앙로 32-1 1층,투썸플레이스
광명어반브릭스점,"경기도 광명시 양지로 19 (일직동) 어반브릭스 167, 168, 169호",투썸플레이스
제기동역점,"서울특별시 동대문구 왕산로 91 (제기동, 메트로폴스위트) 101호",투썸플레이스
춘천거두점,강원도 춘천시 동내면 춘천순환로 131 (거두리) 1층,투썸플레이스
서산호수공원점,충청남도 서산시 호수공원4로 27 (예천동),투썸플레이스
서종리버사이드점, 경기도 양평군 서종면 북한강로 983 (문호리) 1층,투썸플레이스
대전도안바로세움점,대전 유성구 봉명동 1017-2,투썸플레이스
전주역클래시아점,"전북 전주시 덕진구 우아동3가 766 상가동 지하1층, 엘115호(클래시아 더 스카이)",투썸플레이스
김포마산점,경기 김포시 마산동 649-5,투썸플레이스
치동천체육공원점,경기도 화성시 동탄순환대로29길 33 (영천동) 107호,투썸플레이스
원주단구롯데시네마점,"강원도 원주시 서원대로 402 (단구동, 대신프라자) 101~103호",투썸플레이스
마포대로점,서울특별시 마포구 마포대로 67 (도화동) 로이넷호텔 1층,투썸플레이스
옥수리버젠점,"서울특별시 성동구 매봉길 17-0  (옥수동, 래미안 옥수 리버젠)",투썸플레이스
휘경점,서울특별시 동대문구 망우로 86 (휘경동) 1~2층,투썸플레이스
제주엠제이벤처오름점,제주 제주시 첨단로 199,투썸플레이스
익산유천생태습지공원점,전북 익산시 동산동 88-12,투썸플레이스
부산기장죽성점,부산광역시 기장군 기장읍 월전해안길 31 (죽성리) 1층,투썸플레이스
북한산우이역점, 서울특별시 강북구 삼양로 685,투썸플레이스
대전대서문점,대전광역시 동구 대학로50번길 25 (용운동) 1층,투썸플레이스
센텀강변점,부산 해운대구 수영강변대로 278,투썸플레이스
광명스마트타운점,경기도 광명시 일직로 79 (일직동) 투썸광명스마트타운,투썸플레이스
구미옥계점,경북 구미시 산호대로29길 20-12,투썸플레이스
당진기지시점,충남 당진시 송악읍 틀모시로 762,투썸플레이스
시흥장현점,경기도 시흥시 장현능곡로 9 (장곡동) ,투썸플레이스
신내SKV1센터점,서울특별시 중랑구 신내역로 111 (신내동) 신내skv1 센터 1층 121호,투썸플레이스
서일대점,서울 중랑구 용마산로 384,투썸플레이스
칠곡석적유학로점,경상북도 칠곡군 석적읍 유학로 61  ,투썸플레이스
군산지곡호수공원점,전북 군산시 나운동 174-4번지외 2필지,투썸플레이스
부천중동위브점,경기 부천시 원미구 신흥로 178 더스테이트몰상가,투썸플레이스
고양삼송미디어시티점,경기도 고양시 덕양구 동송로 30 (동산동),투썸플레이스
김포운양점,경기도 김포시 김포한강11로 288-19 운양프라자 1층,투썸플레이스
평창올림픽플라자점,강원도 평창군 대관령면 올림픽로 177 (횡계리) 101호,투썸플레이스
경희대국제캠퍼스점,"경기도 용인시 기흥구 덕영대로 1732 (서천동, 경희대학교국제캠퍼스) 우정원 1층 ",투썸플레이스
청주테크노폴리스점,충청북도 청주시 흥덕구 송화로 136 (송절동) 1층,투썸플레이스
도봉산입구점,서울특별시 도봉구 도봉산4가길 13-11 (도봉동) 1층,투썸플레이스
용인처인구청점,경기도 용인시 처인구 금령로 64 (김량장동) 1층,투썸플레이스
김포걸포점,경기도 김포시 걸포2로 33 (걸포동) 2층,투썸플레이스
전주반월DT점,전북 전주시 덕진구 반월동 224-2번지,투썸플레이스
대구퀸스로드점,대구광역시 서구 평리로35길 18-14 (중리동) B동 104호,투썸플레이스
대전목원대점,"대전광역시 유성구 도안북로 85-31 (용계동,스타타워) 1층",투썸플레이스
대전원신흥점,대전광역시 유성구 원신흥남로12번길 38-13 (원신흥동) 1층 투썸플레이스,투썸플레이스
송파잠실H타워점,"서울특별시 송파구 백제고분로 128 (잠실동, H타워) 1,2층",투썸플레이스
영등포당산아리스타점,서울 영등포구 당산동 121-61 여의도아리스타오피스텔 1층,투썸플레이스
서판교점,경기 성남시 분당구 판교동 612-2 1층,투썸플레이스
대구반월당점,대구 중구 달구벌대로 2068 (남산동),투썸플레이스
제주오라우정점,제주특별자치도 제주시 아연로 131-3 (오라이동) 2층,투썸플레이스
금정역SKV1센터점, 경기도 안양시 동안구 엘에스로 142,투썸플레이스
별내용암천점,경기도 남양주시 두물로39번길 27,투썸플레이스
양평양수점,경기 양평군 양서면 용담리 533-6,투썸플레이스
청계천광교점,"서울특별시 중구 남대문로 120 (남대문로1가, 대일빌딩)",투썸플레이스
역삼자이점,서울 강남구 언주로 419,투썸플레이스
진주세란병원점,경상남도 진주시 진주대로829번길 5-4 (주약동) 예동빌딩 1~2층,투썸플레이스
광주두암타운점,광주 북구 두암동 985-3번지,투썸플레이스
제일제당사옥점,"서울특별시 중구 동호로 330 (쌍림동, 씨제이제일제당센터) 1층 투썸플레이스",투썸플레이스
광주동명동카페거리점,광주광역시 동구 동명로 12 (장동) 한스빌딩 1층,투썸플레이스
제천고암케이원점,충북 제천시 신죽하로 83-22 케이원프라자,투썸플레이스
기흥AK몰점,"경기도 용인시 기흥구 기흥역로 63 (구갈동, 힐스테이트기흥) AK몰 1층",투썸플레이스
경산대로점,경상북도 경산시 경산로 221 (옥산동) 투썸경산대로,투썸플레이스
하남감일지구점,경기도 하남시 감일백제로83번길 25 (감이동) 숲83 1층,투썸플레이스
고덕신도시점,경기 평택시 고덕면 여염리 4320-2번지,투썸플레이스
대구월배아이파크점,대구광역시 달서구 유천동 636,투썸플레이스
서판교운중타운점,경기 성남시 분당구 운중동 35-12,투썸플레이스
목포석현점,전라남도 목포시 옥암로 190 (석현동) 190(석현동),투썸플레이스
세종로데오점,"세종 나성로 133-15 (나성동, 애플타워)",투썸플레이스
대전도안수변공원점,대전광역시 유성구 봉명로 27-27 (원신흥동) 1층,투썸플레이스
신정뉴타운점,"서울특별시 양천구 신월로 164 (신월동, 승일뷰티타워2) ",투썸플레이스
부산덕천메가박스점,"부산 북구 만덕대로 23, 뉴코아아울렛 7층",투썸플레이스
광주메가박스하남점,광주 광산구 풍영철길로 15,투썸플레이스
대전판암역점,대전 동구 판암동 865-2,투썸플레이스
일산덕이점,경기 고양시 일산서구 덕이동 373-10,투썸플레이스
삼척장호항점,강원 삼척시 장호항길 76 1층,투썸플레이스
삼성바이오로직스점,"인천광역시 연수구 송도바이오대로 300 (송도동,삼성바이오로직스) 바이오플라자 3층 투썸플레이스",투썸플레이스
부산명지강변점,부산광역시 강서구 명지새동네길2번길 56 (명지동) 1층,투썸플레이스
경남의령행복로점,경상남도 의령군 의령읍 행복로 14 (한우빌딩) 1층,투썸플레이스
인천논현점," 인천광역시 남동구 논고개로 71 (논현동,가산타워) 109호,110호,202호",투썸플레이스
마산합성산호천점,"경상남도 창원시 마산회원구 양덕옛3길 37 (합성동, 마산학원) 1층",투썸플레이스
강릉유천지구점,강원도 강릉시 사임당로 131 (홍제동) 1층 ,투썸플레이스
해운대아이파크점,"부산광역시 해운대구 마린시티2로 38 (우동, 해운대아이파크) 업무동 1층 101호",투썸플레이스
의정부송산역점,경기도 의정부시 충의로 60 (용현동) 1층,투썸플레이스
광주선운지구점,광주광역시 광산구 선운중앙로 46 (선암동) 1-2층,투썸플레이스
대구월곡로점,대구광역시 달서구 월곡로 213 (상인동) 상인동 518-6,투썸플레이스
아산터미널점,충남 아산시 번영로 212-0  (모종동),투썸플레이스
울산KBS사거리점,"울산광역시 남구 번영로 234-0 1층 투썸플레이스 (삼산동, 팔레드상떼)",투썸플레이스
부천원종점,경기도 부천시 소사로 766 (원종동) 1층~2층,투썸플레이스
반포대로점,"서울특별시 서초구 반포대로 300 (잠원동, 덕성빌딩) 1층 ",투썸플레이스
수원태장사거리점,경기 수원시 영통구 망포동 383-12,투썸플레이스
울산선암호수공원점,울산 남구 선암호수길 86-1(선암동),투썸플레이스
대구영남대점,경상북도 경산시 대학로 285 2층 (대동),투썸플레이스
밀양점,경남 밀양시 남천강변로 41 (내일동),투썸플레이스
은평한옥마을점,서울특별시 은평구 진관길 7 (진관동) 투썸은평한옥마을점,투썸플레이스
용두아트리체점,"서울특별시 동대문구 청계천로 505 (용두동, 청계다우아트리체) 102호, 103호",투썸플레이스
청주신봉네거리점,충북 청주시 흥덕구 사운로 301,투썸플레이스
대구엑스코점,대구광역시 북구 유통단지로8길 86 (산격동) 1층 투썸,투썸플레이스
화성동탄목동점,경기도 화성시 동탄순환대로 406 (목동) 1층,투썸플레이스
대구황금점,대구 수성구 청수로 107 1층(황금동),투썸플레이스
시흥능곡점,"경기도 시흥시 장현능곡로 188 (능곡동) 106,107,202호",투썸플레이스
대전중구청역점,대전 중구 선화동 380-2,투썸플레이스
용인흥덕점,"경기도 용인시 기흥구 흥덕중앙로 55 (영덕동, 리써밋타워) 1,2층",투썸플레이스
청주오송생명과학단지점,"충청북도 청주시 흥덕구 오송읍 오송생명로 186 오송프라자 115호, 206호",투썸플레이스
용인모현점,경기도 용인시 처인구 모현읍 오산로13번길 36-2 투썸플레이스,투썸플레이스
덕양푸른마을점,고양시 덕양구 푸른마을로 34-11,투썸플레이스
안산스마트스퀘어점,"경기도 안산시 단원구 산단로 325 (신길동, 리드스마트스퀘어지식산업센터) 29호 ~ 32호",투썸플레이스
원주기업도시스타세븐점, 강원도 원주시 지정면 신지정로 211,투썸플레이스
신정네거리점,서울특별시 양천구 중앙로 261 (신정동) 1층,투썸플레이스
김해주촌선천지구점,경상남도 김해시 주촌면 선천남로 62 1층,투썸플레이스
죽전1동점,경기도 용인시 수지구 현암로 162 (죽전동) 1층,투썸플레이스
수지외식타운점,경기도 용인시 수지구 수지로 342번길 11,투썸플레이스
석촌호수점,"서울특별시 송파구 석촌호수로 220 1층 (석촌동, 보정빌딩)",투썸플레이스
부산시청점,"부산광역시 연제구 시청로 6 (연산동,부산더샵시티애비뉴) 투썸부산시청점",투썸플레이스
양주고읍점,경기 양주시 고읍남로 36,투썸플레이스
대구수성1가점,대구 수성구 수성로 299,투썸플레이스
부산재송점,부산광역시 해운대구 재반로 112 (재송동) 1층,투썸플레이스
대전중촌점,대전 중구 중촌동 300번지,투썸플레이스
춘천석사후석로점,강원도 춘천시 후석로 12 (석사동) 1층,투썸플레이스
부천시청역점,"경기도 부천시 길주로 205 (중동, 솔라리움A동) 101호",투썸플레이스
청주방서메디컬타워점,충청북도 청주시 상당구 2순환로2031번길 6-20 (방서동) 107호~1105호,투썸플레이스
성남신흥역점,"경기도 성남시 수정구 산성대로 269 (신흥동) 1,2층",투썸플레이스
수원정자점,경기도 수원시 장안구 이목로 24-3 (정자동) SKY PLAZA 1층 105호,투썸플레이스
장유코아점,"경상남도 김해시 장유로 224 (부곡동, 뉴프라자) 1,2층",투썸플레이스
안산그랑시티자이점,경기도 안산시 상록구 해양1로 199 (사동) 포트애배뉴 158호,투썸플레이스
구로항동점,서울특별시 구로구 서해안로 2096 (항동) ,투썸플레이스
오류역점,"서울 구로구 경인로 199-2, 2,3층(오류동)",투썸플레이스
다산욱현하이브점,경기도 남양주시 다산중앙로171번길 40 (다산동) 1층,투썸플레이스
부산동의대점,"부산광역시 부산진구 엄광로 176 (가야동, 동의대학교) 행복기숙사 투썸플레이스",투썸플레이스
월곡역코업스타점,"서울특별시 성북구 화랑로 76 (하월곡동, 코업스타클래스) 105-2호, 106호",투썸플레이스
대구죽전하늘채점,대구광역시 달서구 장기로 225 (장기동) 영빈타워 1층,투썸플레이스
숙대입구역점,서울 용산구 남영동 62-9,투썸플레이스
시흥목감점,경기도 시흥시 수풀안길 22(조남동),투썸플레이스
전주서곡점,전북 전주시 완산구 효자동3가 752-4번지,투썸플레이스
마천사거리점,"서울특별시 송파구 거마로 61 (마천동, 강동중앙의원) 1층",투썸플레이스
세종소담레전드타워점,"세종특별자치시 소담로 70 (소담동, 레전드타워) 레전드타워 101호~105호",투썸플레이스
전주혁신호수공원점,전북 전주시 덕진구 중동로 104-12,투썸플레이스
가재울엘가점,"서울 서대문구 모래내로 151, DMC엘가APT",투썸플레이스
용산LS타워점,"서울특별시 용산구 한강대로30길 25 (한강로2가,아스테리움 용산) 지하 1층",투썸플레이스
횡성점,강원도 횡성군 횡성읍 앞들서3로 5 (읍하리) 2층,투썸플레이스
부천괴안점, 경기도 부천시 경인로536번길 23 (괴안동) 104호~107호,투썸플레이스
도산공원사거리점,"서울특별시 강남구 언주로 732 (논현동, 세종빌딩) 세종빌딩 1~2층",투썸플레이스
광주진월점,광주광역시 남구 서문대로 725 (진월동) 1층,투썸플레이스
광주계림그랜드센트럴점,광주광역시 동구 동계천로 26 (대인동) 1층,투썸플레이스
경주보문호수점,경상북도 경주시 천군1길 8-18 (천군동) 1층,투썸플레이스
인천간석사거리점,"인천광역시 남동구 호구포로 887 (간석동, 하나프라자) 1층",투썸플레이스
의정부제일시장점,경기도 의정부시 태평로73번길 21 (의정부동) 2층,투썸플레이스
서울숲역점,"서울특별시 성동구 왕십리로 58 (성수동1가, FORHU) 포휴 101호,201호",투썸플레이스
경산월드컵대로점,경상북도 경산시 삼성현로 62 (옥산동) 1층,투썸플레이스
수원터미널점,경기도 수원시 권선구 덕영대로 1201번길 8,투썸플레이스
의정부중앙로점,경기도 의정부시 행복로 5-1 (의정부동),투썸플레이스
기장일광신도시점,부산광역시 기장군 일광면 해빛1로 5 106호,투썸플레이스
화순도곡점,전라남도 화순군 도곡면 지강로 519 ,투썸플레이스
강릉역점,강원 강릉시 교동 118 강릉역 맞이방,투썸플레이스
용인성복점,"경기도 용인시 수지구 성복1로 35 (성복동, 성복역롯데캐슬클라시엘) 1층",투썸플레이스
부천소새울역점,경기 부천시 소사로 124,투썸플레이스
인천계양구청점, 인천광역시 계양구 계산동 1081-9,투썸플레이스
부천역남부점, 경기도 부천시 경인로 242 (심곡본동) 1층~3층,투썸플레이스
세종대학교점,"서울특별시 광진구 능동로 209 (군자동,세종대학교) 대양AI센터 1층",투썸플레이스
경남남해문학관점,경상남도 남해군 남해읍 스포츠로 12-1 (남변리) 1층,투썸플레이스
광명6동점,"경기도 광명시 광명로 817 (광명동,백석빌딩) 1층",투썸플레이스
대구법원점,"대구광역시 수성구 동대구로 376 (범어동, 범어숲 화성파크드림S) 101호,202호",투썸플레이스
서린동청계광장점,서울특별시 종로구 청계천로 17 (서린동) 투썸플레이스,투썸플레이스
동대구역사점," 대구광역시 동구 동대구로 550 (신암동,동대구역) 1층 신 맞이방",투썸플레이스
천안차암점,충청남도 천안시 밤개울1길 1-1,투썸플레이스
시흥시청점,경기도 시흥시 새재로 23-2 (장현동) 101호~104호,투썸플레이스
대구칠곡3지구점,대구광역시 북구 동암로12길 15 (동천동) 1층,투썸플레이스
제주모슬포점,제주 서귀포시 대정읍 최남단해안로 44,투썸플레이스
대전삼부스포렉스점,"대전광역시 중구 태평로 83 (태평동,삼부스포렉스) 1층 투썸플레이스",투썸플레이스
강서구청점,"서울특별시 강서구 화곡로 347 115.116.209.210호(화곡동,그랜드아이파크)",투썸플레이스
인천송도유원지점,인천광역시 연수구 청량로 83 (동춘동) 청량로 83,투썸플레이스
여의도파크원점,서울특별시 영등포구 여의대로 108 (여의도동) 파크원타워 1층,투썸플레이스
수원곡반정점,경기 수원시 권선구 곡반정동 555,투썸플레이스
강남삼성로점,"서울특별시 강남구 삼성로 519 (삼성동, 원혜빌딩) 519",투썸플레이스
구미원평문화거리점,경상북도 구미시 문화로 49 (원평동) 1층,투썸플레이스
마포망원점,"서울특별시 마포구 월드컵로 155 (망원동,가은빌딩) 1층",투썸플레이스
원주관설점,강원도 원주시 시청로 526 (관설동) 1층,투썸플레이스
병점역점,경기도 화성시 떡전골로98,투썸플레이스
제주연북로점, 제주특별자치도 제주시 연북로 201 (오라이동) 1층,투썸플레이스
고양삼송점,경기 고양시 덕양구 삼송로 94-22,투썸플레이스
경주용황스타타워점,경북 경주시 광중길 24,투썸플레이스
전주에코호수DT점,전라북도 전주시 덕진구 과학로 147 (전미동1가) 투썸플레이스 전주에코호수DT점,투썸플레이스
포천대진대점, 경기도 포천시 호국로 982 (선단동) 1층,투썸플레이스
충남청양점,충청남도 청양군 청양읍 읍내리 329-22,투썸플레이스
신촌연세로점,서울특별시 서대문구 연세로 28 (창천동) 28 1층~4층,투썸플레이스
성남시청점,경기도 성남시 중원구 여수동 190,투썸플레이스
여수한재사거리점,전라남도 여수시 좌수영로 25 (광무동) 1층,투썸플레이스
남양주오남점,경기도 남양주시 오남읍 진건오남로536번길 6 (오남리) 1층,투썸플레이스
선릉로점,"서울특별시 강남구 선릉로93길 54 (역삼동, 일환빌딩) 1~2층",투썸플레이스
삼성도심공항점,"서울특별시 강남구 테헤란로87길 35 (삼성동,금강타워3) 1F",투썸플레이스
양양점,강원도 양양군 양양읍 군청길 71 (남문리) 1층,투썸플레이스
의정부고산점,경기도 의정부시 문충로 114,투썸플레이스
마산현동점,경상남도 창원시 마산합포구 현동로 36 (우산동) 1층,투썸플레이스
광교역점, 경기도 수원시 영통구 대학1로 47 (이의동) 투썸플레이스,투썸플레이스
울산송정점,울산 북구 송정동 420,투썸플레이스
안산본오점,"경기도 안산시 상록구 샘골로 124 (본오동,로스코프라자) 102호, 104호",투썸플레이스
부산서대신점,부산광역시 서구 구덕로321번길 11 (서대신동2가) 1층,투썸플레이스
충북증평점,충청북도 증평군 증평읍 초중리 43-2,투썸플레이스
세종반곡점,"세종특별자치시  한누리대로 1820 (반곡동,왕관빌딩) 1층~2층",투썸플레이스
강동명일점,서울특별시 강동구 양재대로 1615 (천호동) 1층,투썸플레이스
송도타임스페이스점,인천광역시 연수구 송도동 8-22,투썸플레이스
인천동암역점,인천광역시 부평구 열우물로 44 (십정동) 1층,투썸플레이스
진영DT점,경상남도 김해시 진영읍 여래리 51,투썸플레이스
수원장안구청점,"경기도 수원시 장안구 경수대로 940 (조원동,일호골든타워) 1층",투썸플레이스
광주일곡점,광주광역시 북구 양일로 331 (일곡동) 1층,투썸플레이스
하남풍산점,경기도 하남시 덕풍동로 111-33 필지 (덕풍동),투썸플레이스
청주비하점,"충청북도 청주시 흥덕구 2순환로 1112 , 1층",투썸플레이스
분당수내점,"경기도 성남시 분당구 황새울로258번길 31 (수내동,분당예미지빌딩) 1층 투썸플레이스",투썸플레이스
평택로데오점,경기도 평택시 중앙2로 16 (평택동) 298-1,투썸플레이스
아산신용화점,"충청남도 아산시 어의정로 93, 1층",투썸플레이스
전주효천점,전라북도 전주시 완산구 쑥고개로 324,투썸플레이스
대림역점,"서울특별시 영등포구 도림로 135 (대림동,건설빌딩) 104호,105호, 204호,205호",투썸플레이스
청라시티타워점,인천광역시 서구 청라한내로72번길 23 (청라동) 청라쓰리엠파크 119호 206호,투썸플레이스
송도커낼워크점,"인천광역시 연수구 아트센터대로 87 (송도동,커낼워크D4 WINTER) 401동 101호201호",투썸플레이스
평내호평점,경기도 남양주시 경춘로 1329 (평내동) 1층,투썸플레이스
노원구청점,"서울특별시 노원구 노해로 449 (상계동,덕화빌딩) 1~2층",투썸플레이스
종암점,"서울특별시 성북구 종암로 103 (종암동) 1층,2층",투썸플레이스
서초구청점,서울특별시 서초구 서운로 7 (서초동) 1층,투썸플레이스
구미봉곡점,경상북도 구미시 봉곡북로 69 (봉곡동) 1층,투썸플레이스
창원대산점,경상남도 창원시 의창구 대산면 진산대로355번길 14-16 (제동리) 1층,투썸플레이스
부산더블유스퀘어점,"부산광역시 남구 분포로 145 (용호동,더블유) 더블유스퀘어 1037~1040호",투썸플레이스
세종신흥점,세종특별자치시 조치원읍 신흥리 166-11,투썸플레이스
안양덕천점,"경기도 안양시 만안구 태평로60번길 42 (안양동, 센트럴타워2) 2층 201,202호(안양동 .센트럴타워 2층)",투썸플레이스
은평구청점,서울특별시 은평구 은평로 194 (응암동) 더위일아파트 1층,투썸플레이스
대치사거리점,서울특별시 강남구 삼성로 334 (대치동) 1F 투썸플레이스 대치사거리점,투썸플레이스
다산신도시점,경기도 남양주시 다산중앙로 117 (다산동) 인강E타워 1층,투썸플레이스
부산사상점,"부산광역시 사상구 사상로 213 (괘법동,다사랑한의원, 투썸플레이스) 1층",투썸플레이스
장안동사거리점,"서울특별시 동대문구 답십리로 273 (장안동,한양빌딩) 1층",투썸플레이스
이천마장점,경기도 이천시 마장면 오천로 55 (오천리) 1층,투썸플레이스
부산구서SK점,부산광역시 금정구 수림로72번길 104 (구서동) 1층~2층,투썸플레이스
왜관DT점,경상북도 칠곡군 왜관읍 관문로 173 (왜관리) 투썸플레이스 왜관DT점,투썸플레이스
인천제물포역점,인천광역시 미추홀구 경인로 154,투썸플레이스
부산중동점,"부산광역시 해운대구 해운대로 743 (중동,정우빌딩) 1팀",투썸플레이스
인천계산역점,"인천광역시 계양구 경명대로 1074 (계산동,삼환1빌딩) 101호",투썸플레이스
태백중앙로점,강원도 태백시 번영로 357 (황지동) 2층,투썸플레이스
아리수경주호텔점,경북 경주시 영불로 207,투썸플레이스
화곡역점,"서울특별시 강서구 강서로 163 (화곡동) 1,2층",투썸플레이스
진해여좌점,"경상남도 창원시 진해구 충장로 147 (여좌동,헤븐하임) 경남 창원시 진해구 충장로 147 헤",투썸플레이스
여수죽림점,전라남도 여수시 죽림중앙로 7-39,투썸플레이스
송도랜드마크시티점,"인천광역시 연수구 랜드마크로 68, 301동(송도동,랜드마크시티더샵)",투썸플레이스
청주CJB센터점,충청북도 청주시 서원구 1순환로 840 (산남동) 1층,투썸플레이스
경남합천점,경상남도 합천군 합천읍 충효로 13-1 (합천리) 1층,투썸플레이스
서초센트럴아이파크점,서울특별시 서초구 서초동 1582-3,투썸플레이스
대구수성알파시티점,대구광역시 수성구 알파시티2로 95 (노변동) 201호,투썸플레이스
천안청수행정타운점,충청남도 천안시 동남구 청수13로 14 (청당동) 1층,투썸플레이스
대전은행점,대전광역시 중구 대종로488번길 54 (은행동) 2층 투썸플레이스,투썸플레이스
신대방삼거리점,서울특별시 동작구 국사봉1길 32,투썸플레이스
울산삼산중로점,울산광역시 남구 삼산중로 29 (달동) 1층,투썸플레이스
창원아티움시티점,경상남도 창원시 의창구 창원대로397번길 11 (팔용동) 1층,투썸플레이스
일산마두점,"경기도 고양시 일산동구 중앙로 1181 (장항동,교보생명 일산사옥) 1층,2층",투썸플레이스
부산대정문점,부산광역시 금정구 금강로 260-2 (장전동) 투썸플레이스 부산대정문점,투썸플레이스
제주신화빌라스점,제주특별자치도 서귀포시 안덕면 신화역사로304번길 139 (서광리) 1층,투썸플레이스
마곡역점,서울 강서구 마곡동 798-9,투썸플레이스
롯데마트영통역점,"경기도 수원시 영통구 봉영로 1579 (영통동,롯데마트영통점) 1층",투썸플레이스
시화MTV점,"경기도 시흥시 시화벤처로 222 (정왕동,경남기전(주)) 1층",투썸플레이스
일산장항점,"경기도 고양시 일산동구 무궁화로 43-15 (장항동,한강세이프빌) 108호,109호",투썸플레이스
부산하단레이어스호텔점,부산광역시 사하구 낙동남로 1395 (하단동) 1층,투썸플레이스
충남대학교병원점,"대전광역시 중구 문화로 282 (대사동,충남대학교병원) 본관1층",투썸플레이스
관양현대점,"경기도 안양시 동안구 관평로327번길 11 (관양동,현대상가) 1층",투썸플레이스
성수낙낙점,서울특별시 성동구 아차산로17길 49 1층,투썸플레이스
경산사동점,"경상북도 경산시 백자로 55 (사동) 1,2층",투썸플레이스
상암MBC점,"서울특별시 마포구 성암로 267 (상암동,(주)문화방송) 113호",투썸플레이스
성남고등점,경기도 성남시 수정구 고등로 2길9,투썸플레이스
왜관매원리점,경상북도 칠곡군 왜관읍 봉계로 190 (매원리) 1층,투썸플레이스
성남을지대점,경기도 성남시 수정구 산성대로 533 (양지동) 1층,투썸플레이스
원흥역점,경기도 고양시 덕양구 권율대로 668 (원흥동) 티오피클래식오피스텔 1층,투썸플레이스
동수원사거리점,"경기도 수원시 팔달구 중부대로 129 (지동,중부빌딩) 수원시 팔달구 중부대로129, 1층(지",투썸플레이스
수원아이파크시티점,"경기도 수원시 권선구 동수원로177번길 90 (권선동,수원아이파크시티9단지) 1층",투썸플레이스
동탄호수공원점,경기도 화성시 동탄순환대로5길 5-24 (송동) 1층 투썸플레이스 동탄호수공원점,투썸플레이스
부산광안역점,"부산광역시 수영구 수영로582번길 10 (광안동,광안역 성원상떼빌) 1층 투썸플레이스 부산광안역점",투썸플레이스
압구정역점,"서울특별시 강남구 압구정로 158 (신사동,진우빌딩) 1층",투썸플레이스
충북옥천점,"충청북도 옥천군 옥천읍 중앙로 159 (문정리,자동차정비소) 1층",투썸플레이스
목동하이페리온점,"서울특별시 양천구 오목로 300 (목동,현대하이페리온2) 1,2층",투썸플레이스
울산태화강역점,울산 남구 삼산동 1638-1,투썸플레이스
명동L7점,서울특별시 중구 퇴계로 137 (충무로2가) L7호텔 1층,투썸플레이스
세종아름점,세종특별자치시 아름동 1167,투썸플레이스
대구월배역포스코점,대구광역시 달서구 상원로 113 (상인동) 1~4층,투썸플레이스
마산산호점,"경상남도 창원시 마산합포구 삼호로 53 (산호동,명성빌딩) 1층",투썸플레이스
대구시지점,"대구광역시 수성구 달구벌대로645길 11 (신매동,신매동SNL메디타워) 108,109,202호",투썸플레이스
대구월촌역점,대구광역시 달서구 월배로 324 (송현동) 1층 투썸플레이스 대구월촌역점,투썸플레이스
청주가경파크점,충청북도 청주시 흥덕구 서현로 90(가경동),투썸플레이스
당진시청점,충청남도 당진시 남부로 260-24 (수청동) 1층,투썸플레이스
위례역점,경기도 성남시 수정구 위례서일로 6 (창곡동) 1층,투썸플레이스
올림픽평화의문점,"서울특별시 송파구 올림픽로 424 (방이동,올림픽공원) 평화의광장 B1",투썸플레이스
춘천소양강댐점,강원도 춘천시 신북읍 신샘밭로 750 (천전리) 1-2층,투썸플레이스
용인보정점,"경기도 용인시 기흥구 죽전로 53 (보정동, 야후빌딩) 1층~2층",투썸플레이스
수원호매실점,"경기도 수원시 권선구 금곡로102번길 45 (금곡동) 1층,2층",투썸플레이스
마포대흥점,"서울특별시 마포구 대흥로 183 (대흥동,신촌그랑자이상가) 1층",투썸플레이스
인천효성점,"인천광역시 계양구 새벌로 112, 1층 108호 (효성동, 마스터즈)",투썸플레이스
안산한대앞역점,"경기도 안산시 상록구 광덕1로 382 (이동,덕성프라자) 경기도 안산시 상록구 이동 716-1",투썸플레이스
대전가장로점,대전광역시 서구 가장로 63 (괴정동) 투썸플레이스,투썸플레이스
충남대점,대전광역시 유성구 대학로 87 (궁동) 투썸플레이스,투썸플레이스
대치선릉점,서울특별시 강남구 테헤란로70길 16 (대치동) 테헤란로70길 16-0  (대치동),투썸플레이스
동양미래대점,서울특별시 구로구 경인로47길 34-1 (고척동) 1층,투썸플레이스
용마산역점,서울특별시 중랑구 면목로 249 (면목동) ,투썸플레이스
디지털미디어시티역점,"서울특별시 마포구 성암로 189 (상암동,중소기업 DMC 타워) 1층",투썸플레이스
동백중앙점,"경기도 용인시 기흥구 동백5로 21-11 (중동,동백 훼미리프라자 1) 2층",투썸플레이스
제주쇠소깍점,제주특별자치도 서귀포시 쇠소깍로 134 (하효동) 2층,투썸플레이스
인천임학점,인천광역시 계양구 장제로 899-1 (임학동) 1층,투썸플레이스
거제아주점,경상남도 거제시 아주1로2길 58 (아주동) 1층,투썸플레이스
명동성당사거리점,서울특별시 중구 마른내로 6 (저동2가) 1층~3층,투썸플레이스
성남태평역점,경기도 성남시 수정구 수정로73번길 6-6 (태평동) 1층,투썸플레이스
인천숭의점,"인천광역시 미추홀구 인주대로 51 (숭의동, 더스테이프라임월드) ",투썸플레이스
