지역,매장명,브랜드명
인천광역시 연수구 비류대로 208 (옥련동) 메가커피 ,송도역점,메가커피
인천광역시 연수구 비류대로433번길 10 101호(연수동) ,인천함박마을점,메가커피
경기도 시흥시 배곧4로 32-28,시흥배곧타운점,메가커피
인천광역시 미추홀구 독배로432번길 4 (용현동) 메가커피 ,인천용현시장점,메가커피
인천광역시 서구 봉화로 49,인천오류왕길점,메가커피
인천광역시 미추홀구 경인남길30번길 50 1층(용현동) ,인하대점,메가커피
인천광역시 연수구 함박뫼로 250,신연수역점,메가커피
경기도 시흥시 배곧4로 87 (정왕동) 메가커피 ,배곧고점,메가커피
경기도 화성시 남양읍 시청로 119 ,화성시청점,메가커피
인천광역시 동구 운교로 6 . ,인천화평점,메가커피
인천광역시 남동구 논현로26번길 15 102호(논현동위스코프라자) ,호구포역점,메가커피
인천광역시 미추홀구 재넘이길 6 . ,인천학익중앙점,메가커피
"인천광역시 미추홀구 매소홀로 476 101, 102호 (학익동) ",인천학익신동아점,메가커피
인천광역시 미추홀구 경인로 63,인천숭의점,메가커피
경기도 안산시 단원구 별망로 555 ,원시역점,메가커피
경기도 시흥시 해송십리로 472-12 (정왕동시흥배곧신도시이지더원1차더퍼스트)상가 ,배곧이지더원점,메가커피
인천광역시 미추홀구 인주대로 264,용남시장점,메가커피
인천광역시 동구 수문통로 54-1 1층(송현동튼튼정형외과의원) ,인천송현점,메가커피
인천광역시 미추홀구 소성로 334(문학동) 메가커피 ,인천문학점,메가커피
인천광역시 미추홀구 인하로221번길 6 (주안동) ,주안파크자이점,메가커피
인천광역시 남동구 에코중앙로156번길 5-27 1층(논현동) ,인천한화에코점,메가커피
인천광역시 연수구 학나래로46번길 22 (선학동) 메가커피 ,선학역점,메가커피
인천광역시 미추홀구 수봉로 7,제물포남부역점,메가커피
인천광역시 동구 샛골로210번길 ,인천백병원점,메가커피
인천광역시 미추홀구 석정로92번길 175 . ,제물포북부역점,메가커피
인천광역시 미추홀구 인하로 271 메가커피(신기시장점) ,신기시장점,메가커피
인천광역시 남동구 논고개로123번길 17 ,인천논현역점,메가커피
인천광역시 남동구 논고개로 77,인천논현에코점,메가커피
경기도 시흥시 서울대학로278번길 43-7 (정왕동) 메가커피 ,배곧유호엔시티점,메가커피
"경기도 안산시 단원구 산단로 325, CA동 1층 128호(신길동, 리드 스마트스퀘어 지식산업센터) ",안산스마트스퀘어점,메가커피
인천광역시 남동구 논고개로 166 . ,논현은봉초점,메가커피
경기도 시흥시 월곶중앙로 64 1층111호(월곶동풍산프라자) ,시흥월곶점,메가커피
인천광역시 미추홀구 제일로 36,인천주안제일점,메가커피
