지역,매장명,브랜드명
경기도 용인시 기흥구 동백죽전대로 444 쥬네브썬월드빌딩,용인쥬네브점,엔제리너스
서울특별시 강남구 테헤란로 116 동경빌딩,강남역사거리점,엔제리너스
서울특별시 중구 남대문로 롯데백화점 본점 13층 ,롯대백소공식당가점,엔제리너스
서울특별시 종로구 세종로 155-4,세종로점,엔제리너스
서울특별시 중구 무교로 24,무교점,엔제리너스
서울특별시 중구 명동3길 10,명동점,엔제리너스
서울특별시 종로구 세종대로 189 세종로지하주차장,세종로T/O점,엔제리너스
서울특별시 중구 퇴계로   135-8 ,명동L7호텔점,엔제리너스
서울특별시 은평구 진관동 1,롯데몰은평4F점,엔제리너스
서울특별시 종로구 공평동 5-1,센트로폴리스점,엔제리너스
서울특별시 은평구 진관동 1,롯데몰은평B1점,엔제리너스
서울특별시 중구 장교동 22-4,명동시티호텔점,엔제리너스
서울특별시 은평구 진관동 1,롯데몰은평3F점,엔제리너스
서울특별시 종로구 삼일대로 396,종로점,엔제리너스
경기도 성남시 분당구 황새울로342번길 23 기영프라자,분당서현점,엔제리너스
서울특별시 종로구 대학로 127,대학로점,엔제리너스
서울특별시 광진구 능동로 103 동서빌딩,건대역점,엔제리너스
서울특별시 광진구 능동로 110,건대영존점,엔제리너스
서울특별시 송파구 올림픽로 240 롯데월드,롯데백잠실점,엔제리너스
서울특별시 송파구 석촌호수 224 (석촌동) ,석촌호수D/I점,엔제리너스
서울특별시 송파구 올림픽로 269 롯데캐슬골드,롯데캐슬잠실점,엔제리너스
"서울특별시 동대문구 왕산로 214 청량리역,롯데백화점",롯데백청량리식당가점,엔제리너스
서울특별시 송파구 신천동 29,잠실롯데월드몰F1점,엔제리너스
서울특별시 송파구 신천동 29,잠실롯데월드몰B1점,엔제리너스
서울특별시 송파구 올림픽로 300 롯데월드타워앤드롯데월드몰,잠실롯데월드타워31F점,엔제리너스
서울특별시 송파구 올림픽로 300 롯데월드타워앤드롯데월드몰,잠실롯데월드타워B1점,엔제리너스
서울특별시 송파구 올림픽로 300 롯데월드타워앤드롯데월드몰,잠실롯데월드타워1F점,엔제리너스
서울특별시 송파구 올림픽로 300 롯데월드타워앤드롯데월드몰,잠실롯데월드타워19F점,엔제리너스
서울특별시 송파구 올림픽로 300 롯데월드타워앤드롯데월드몰,잠실롯데월드타워31F점,엔제리너스
서울특별시 송파구 올림픽로 299 대한제당,대한제당점,엔제리너스
서울특별시 강북구 4.19로 64 (수유동) 1F 엔제리너스 ,북한산DI점,엔제리너스
서울특별시 강북구 도봉로 333 정우빌딩,수유역점,엔제리너스
서울특별시 중랑구 면목로45길 6,사가정역점,엔제리너스
서울특별시 노원구 상계동 713,롯데시네노원,엔제리너스
