브랜드명,shopName,address
폴바셋,여의도 현대카드 CAFE,"서울시 영등포구 의사당대로 3, 현대캐피탈 빌딩 1관 1층"
폴바셋,영등포 타임스퀘어점,서울특별시 영등포구 영중로 15 타임스퀘어 2층 교보문고
폴바셋,고대구로병원점,서울특별시 구로구 구로동로 148 고대구로병원 신관 1층
폴바셋,AK플라자 홍대점,서울시 마포구 양화로 188 AK플라자 홍대점 1층
폴바셋,현대 디큐브시티점,서울시 구로구 경인로 662 디큐브시티 5층
폴바셋,교보문고 합정점,서울특별시 마포구 월드컵로 1길 14딜라이트 스퀘어 B2
폴바셋,광명 철산DT점,광명시 오리로 883
폴바셋,롯데마트 양평점,서울시 영등포구 양평동3가 45 롯데마트 1층
폴바셋,스타필드 안성점,안성시 공도읍 서동대로 3930-39 스타필드안성점 2층 2300호
폴바셋,MBC 몰 파크점,서울시 마포구 성암로 267MBC Mall Park 103호
폴바셋,증미역점(with 피자 일뽀르노),서울특별시 강서구 등촌동 631-5번지 1층
폴바셋,강서 부민병원점,서울시 강서구 공항대로 389 부민병원1층
폴바셋,롯데몰 은평점,서울 은평구 진관동 79-15 롯데몰 은평점 1
폴바셋,신세계백화점 의정부점,경기도 의정부시 평화로 525 신세계백화점 3층
폴바셋,강서 마곡DT점,"서울특별시 강서구 양천로 300, 1~2층(마곡동)"
폴바셋,스타필드 고양 1호점,경기 고양시 덕양구 고양대로 1955스타필드 고양점 4층
폴바셋,의정부 을지병원점,경기도 의정부시 금오동 439-38 의정부 을지대병원 별관 1층
폴바셋,롯데백화점 김포공항점,서울시 강서구 하늘길 38 롯데백화점 김포공항점 GF층
폴바셋,신세계아울렛 시흥점,경기도 시흥시 서해안로 699신세계 시흥 프리미엄 아울렛 2503호
폴바셋,현대백화점 중동점,경기도 부천시 길주로 180 현대백화점 중동점 1층
폴바셋,현대아울렛 김포점,경기도 김포시 고촌읍 아라육로 152번길 100 현대 프리미엄아울렛 김포점 101호
폴바셋,일산마두점,경기도 고양시 일산동구 중앙로 1205 차움라이프센터 1층 폴 바셋 
폴바셋,송도 트리플스트리트점,"인천시 연수구 송도과학로 16번길 33-3 C동 112호, 211호"
폴바셋, 송도 센트럴파크점,인천시 연수구 송도동 23-5 1층 폴 바셋
폴바셋,김포 구래 DT점,경기도 김포시 양촌읍 석모리 1030
폴바셋,파주 프리미엄 아울렛점,경기도 파주시 탄현면 필승로 200 파주 프리미엄아울렛 543호
폴바셋,투고 바 파라다이스시티점,인천광역시 중구 영종해안남로 321번길 186 원더박스 2
폴바셋,영종도 파라다이스시티점,인천 중구 영종해안남로321번길 186 영종도 파라다이스시티 플라자 H 103호
폴바셋,현대백화점 충청점,충청북도 청주시 흥덕구 직지대로 308 현대백화점 충청점 지하1층
폴바셋,청주 방서 DT점 , 충청북도 청주시 상당구 방서동 55-1
폴바셋,현대아울렛 대전점(휴점),대전시 유성구 용산동 579 현대아울렛대전점 1층
