지역,매장명,브랜드명
서울특별시 중구 명동3길 10,충남태안점,엔제리너스
서울특별시 종로구 세종대로 189 세종로지하주차장,충남태안점,엔제리너스
서울특별시 중구 퇴계로   135-8 ,충남태안점,엔제리너스
서울특별시 은평구 진관동 1,충남태안점,엔제리너스
서울특별시 종로구 공평동 5-1,충남태안점,엔제리너스
서울특별시 은평구 진관동 1,충남태안점,엔제리너스
서울특별시 중구 장교동 22-4,충남태안점,엔제리너스
서울특별시 은평구 진관동 1,충남태안점,엔제리너스
서울특별시 종로구 삼일대로 396,충남태안점,엔제리너스
경기도 성남시 분당구 황새울로342번길 23 기영프라자,충남태안점,엔제리너스
서울특별시 종로구 대학로 127,충남태안점,엔제리너스
서울특별시 광진구 능동로 103 동서빌딩,충남태안점,엔제리너스
서울특별시 광진구 능동로 110,충남태안점,엔제리너스
서울특별시 송파구 올림픽로 240 롯데월드,충남태안점,엔제리너스
서울특별시 송파구 석촌호수 224 (석촌동) ,충남태안점,엔제리너스
서울특별시 송파구 올림픽로 269 롯데캐슬골드,충남태안점,엔제리너스
"서울특별시 동대문구 왕산로 214 청량리역,롯데백화점",충남태안점,엔제리너스
서울특별시 송파구 신천동 29,충남태안점,엔제리너스
서울특별시 송파구 신천동 29,충남태안점,엔제리너스
서울특별시 송파구 올림픽로 300 롯데월드타워앤드롯데월드몰,충남태안점,엔제리너스
서울특별시 송파구 올림픽로 300 롯데월드타워앤드롯데월드몰,충남태안점,엔제리너스
서울특별시 송파구 올림픽로 300 롯데월드타워앤드롯데월드몰,충남태안점,엔제리너스
서울특별시 송파구 올림픽로 300 롯데월드타워앤드롯데월드몰,충남태안점,엔제리너스
서울특별시 송파구 올림픽로 300 롯데월드타워앤드롯데월드몰,충남태안점,엔제리너스
서울특별시 송파구 올림픽로 299 대한제당,충남태안점,엔제리너스
서울특별시 강북구 4.19로 64 (수유동) 1F 엔제리너스 ,충남태안점,엔제리너스
서울특별시 강북구 도봉로 333 정우빌딩,충남태안점,엔제리너스
서울특별시 중랑구 면목로45길 6,충남태안점,엔제리너스
서울특별시 노원구 상계동 713,충남태안점,엔제리너스
서울특별시 강동구 동남로 892 강동경희대학교병원,충남태안점,엔제리너스
서울특별시 노원구 동일 1660,충남태안점,엔제리너스
경기도 구리시 경춘로 261 롯데백화점 구리점,충남태안점,엔제리너스
경기도 구리시 동구릉로136번길 57 구리유통종합상가,충남태안점,엔제리너스
경기도 하남시 신장로 126 동부신협빌딩,충남태안점,엔제리너스
세종특별자치시 조치원읍 행복11길  3 ,충남태안점,엔제리너스
경기도 의정부시 천보로 44,충남태안점,엔제리너스
충청북도 청주시 흥덕구 옥산면 경부고속도로 318 ,충남태안점,엔제리너스
세종특별자치시   한누리대로 2147,충남태안점,엔제리너스
전라북도 군산시 공단대로 599,충남태안점,엔제리너스
전라북도 군산시 수송6길 3,충남태안점,엔제리너스
전라북도 군산시 조촌로 111,충남태안점,엔제리너스
전라북도 군산시 백토로 284-35,충남태안점,엔제리너스
충청북도 청주시 흥덕구 풍산로 18 터미널타워,충남태안점,엔제리너스
경기도 동두천시 지행로 55 크라운732,충남태안점,엔제리너스
대전광역시 유성구 은구비남 33번길 13-38 웰컴빌딩 1층 엔젤리너스 ,충남태안점,엔제리너스
대전광역시 유성구 유성대로1184번길 11-9,충남태안점,엔제리너스
충청북도 청주시 흥덕구 청남로 2010 ,충남태안점,엔제리너스
대전광역시 서구 둔지로 32,충남태안점,엔제리너스
전라북도 익산시 미륵사지로 477,충남태안점,엔제리너스
대전광역시 서구 둔산로 26,충남태안점,엔제리너스
대전광역시 서구 대덕대로161번길 5,충남태안점,엔제리너스
대전광역시 서구 둔산동 925,충남태안점,엔제리너스
대전광역시 서구 둔산로 130 대덕프라자,충남태안점,엔제리너스
전라북도 익산시 무왕로11길 6-3,충남태안점,엔제리너스
대전광역시 중구 태평로26번길 8,충남태안점,엔제리너스
경기도 여주군 여주읍 명품1로 22-2 (상거동) ,충남태안점,엔제리너스
대전광역시 동구 동서대로1695번길 30 대전복합터미널(동관),충남태안점,엔제리너스
대전광역시 동구 동서대로 1689 대전복합터미널(서관),충남태안점,엔제리너스
대전광역시 중구 선화서로 3,충남태안점,엔제리너스
대전광역시 동구 은어송로 46,충남태안점,엔제리너스
전라북도 완주군 과학로 1025,충남태안점,엔제리너스
