지역,매장명,현황,주소,브랜드명
경기 김포시,김포골드밸리점,영업중,경기도 김포시 양촌읍 황금로109번길 27 1층,할리스
서울 서초구,남부터미널점,영업중,"서울특별시 서초구 서초중앙로 52 (서초동, 영진빌딩) 서초동 1623-10",할리스
서울 강동구,고덕리앤파크점,영업중,서울특별시 강동구 상일로 151 (고덕동) 1층,할리스
강원 원주시,원주중앙점,영업중,"강원도 원주시 중평길 4, 2~4층 .",할리스
전북 전주시 덕진구,전주송천점,영업중,"전라북도 전주시 덕진구 송천로 1, 1-2블럭 2-112,113,136호 1층",할리스
전북 전주시 덕진구,송천솔내점,영업중,"전라북도 전주시 덕진구 붓내3길 17 송천동 2가 244-10, 1층",할리스
서울 강남구,한티역점,영업중,"서울특별시 강남구 도곡로 414 (대치동, 삼성빌딩) .",할리스
강원 강릉시,강릉항마리나점,영업중,강원도 강릉시 창해로14번길 51-20 .,할리스
광주 광산구,광주첨단점,영업중,광주광역시 광산구 첨단중앙로 136 1층,할리스
부산 수영구,부산수영로터리점,영업중,"부산광역시 수영구 수영로 710-1, 프라임메디컬빌딩 2층 201 광안동 50-13.",할리스
경기 고양시 일산서구,일산레이킨스몰점,영업중,경기도 고양시 일산서구 호수로 817 레이킨스몰 138 1층,할리스
강원 원주시,(부)치악휴게소점,영업중,강원도 원주시 신림면 치악로 416 0,할리스
인천 남동구,간석역남부점,영업중,인천 남동구 석산로 11 .,할리스
서울 중구,충정래미안점,영업중,"서울특별시 중구 중림로 21 (중림동, 더플레이스충정로) B204호",할리스
경기 수원시,수원성대역점,영업중,경기도 수원시 장안구 서부로2126번길 10 1층,할리스
광주 서구,광주풍암점,영업중,광주광역시 서구 풍금로38번길 11 .,할리스
서울 동작구,노량진역점,영업중,서울특별시 동작구 노량진로 157 (노량진동) 2층,할리스
충북 청주시 흥덕구,충북대점,영업중,충청북도 청주시 흥덕구 내수동로 53 1~2층,할리스
경북 군위군,(하)군위휴게소점,영업중,경상북도 군위군 군위읍 경북대로 4082 춘천방향,할리스
서울 강동구,굽은다리역점,영업중,"서울특별시 강동구 양재대로 1591 , 1층 (천호동 31-2)",할리스
인천 연수구,송도IT점,영업중,"인천 연수구 송도과학로 32, 송도테크노파크IT센터 1층-A104호 .",할리스
경북 문경시,(하)문경휴게소점,영업중,경상북도 문경시 중부내륙고속도로 173 .,할리스
서울 관악구,서울대사거리점,영업중,"서울특별시 관악구 관악로 172, 2층 봉천동 857-4",할리스
서울 강남구,도심공항점,영업중,"서울특별시 강남구 테헤란로87길 22 (삼성동, 한국도심공항터미널, 2층) .",할리스
서울 종로구,광화문LG점,영업중,"서울특별시 종로구 새문안로 58 (신문로2가, LG광화문빌딩) 1층, 지하1층",할리스
서울 광진구,건대입구점,영업중,서울특별시 광진구 아차산로 235 (화양동) 235 (화양동),할리스
서울 중구,광화문점,영업중,서울특별시 중구 세종대로21길 55 (태평로1가) 1층,할리스
서울 강남구,청담점,영업중,서울특별시 강남구 학동로 517 (청담동) 1층,할리스
경남 진주시,진주교대점,영업중,경상남도 진주시 진양호로 348 .,할리스
광주 남구,광주봉선점,영업중,"광주광역시 남구 봉선중앙로 21, 1층 1층",할리스
서울 동작구,이수역점,영업중,"서울특별시 동작구 동작대로 83 (사당동, 헤라피스빌딩) 1층",할리스
경기 안산시 단원구,안산NC고잔점,영업중,경기도 안산시 단원구 광덕대로 194 안산NC고잔점 A관 1층,할리스
서울 서초구,방배점,영업중,"서울특별시 서초구 남부순환로 2335 (방배동, 옥스포드빌딩) .",할리스
경기 성남시,분당서현점,영업중,"경기도 성남시 분당구 황새울로 315, 1층 104 (서현동, 대현빌딩) .",할리스
경기 부천시 원미구,부천중동점,영업중,"경기도 부천시 원미구 소향로 203, B동 109-110호 중동 1152-3 매트로펠리스 B동1층",할리스
서울 광진구,테크노마트점,영업중,"서울특별시 광진구 광나루로56길 85 (구의동, 테크노-마트21) 9층",할리스
경기 군포시,산본점,영업중,"경기도 군포시 번영로 505 1층 (산본동, 대우디오플러스)",할리스
광주 동구,광주충장로점,영업중,광주광역시 동구 충장로안길 43 .,할리스
